state,gender,education,customer_lifetime_value,income,monthly_premium_auto,policy_type,vehicle_class,total_claim_amount,open_compl
California,F,College,12275,52135,156,Personal Auto,SUV,430,0
California,F,College,2722,17576,71,Corporate Auto,Four-Door Car,398,0
Oregon,F,Bachelor,2457,29486,62,Personal Auto,Four-Door Car,7,0
Oregon,F,Master,3554,58557,88,Corporate Auto,Four-Door Car,55,0
California,M,Bachelor,4929,25632,63,Personal Auto,Two-Door Car,351,0
California,F,High School or Below,8036,0,112,Personal Auto,Luxury,806,0
Arizona,M,Bachelor,4276,18768,68,Corporate Auto,Four-Door Car,647,3
California,F,Bachelor,33473,33190,106,Personal Auto,SUV,508,0
Oregon,F,Master,5960,47945,74,Personal Auto,Two-Door Car,128,0
Arizona,M,College,44795,58778,126,Special Auto,SUV,302,0
California,F,High School or Below,3832,15192,100,Personal Auto,SUV,480,0
California,F,Bachelor,6837,51859,171,Personal Auto,SUV,1003,0
Nevada,F,High School or Below,5285,23422,72,Personal Auto,Two-Door Car,518,0
California,F,College,3096,21604,79,Corporate Auto,Four-Door Car,379,0
Arizona,M,College,3589,79298,90,Personal Auto,Four-Door Car,244,0
Arizona,F,Bachelor,2582,76731,64,Special Auto,Four-Door Car,201,0
Washington,M,College,3403,38460,88,Personal Auto,Four-Door Car,91,1
Arizona,F,College,13575,48534,115,Personal Auto,SUV,552,1
Washington,M,Doctor,3436,30817,88,Corporate Auto,Four-Door Car,91,0
Oregon,F,College,28685,48412,104,Personal Auto,SUV,707,0
Washington,M,Bachelor,4502,68798,114,Personal Auto,SUV,92,0
Oregon,M,Bachelor,6183,23712,85,Personal Auto,Four-Door Car,376,0
California,M,College,3873,28142,105,Personal Auto,Luxury,701,0
California,F,Master,18929,72196,68,Personal Auto,Four-Door Car,152,0
California,M,Master,5553,68197,69,Personal Auto,Four-Door Car,176,0
California,M,Bachelor,5011,75248,63,Corporate Auto,Four-Door Car,104,0
California,F,College,10442,0,98,Personal Auto,Four-Door Car,941,0
Nevada,M,Bachelor,2199,0,65,Personal Auto,Two-Door Car,468,1
Washington,F,Master,5123,89879,63,Personal Auto,Two-Door Car,94,0
Oregon,M,High School or Below,7484,46998,96,Corporate Auto,Four-Door Car,460,0
Oregon,M,Bachelor,2613,57099,67,Personal Auto,Two-Door Car,67,0
Arizona,F,Bachelor,9080,33897,114,Corporate Auto,SUV,539,0
Nevada,F,High School or Below,13770,59207,116,Personal Auto,Four-Door Car,556,0
Oregon,M,High School or Below,2876,40171,73,Personal Auto,Four-Door Car,350,0
Washington,M,Doctor,5408,80192,67,Personal Auto,Four-Door Car,95,0
Washington,M,High School or Below,6770,74422,85,Personal Auto,Four-Door Car,95,1
Oregon,M,College,24143,0,87,Special Auto,Four-Door Car,626,0
Arizona,F,College,3538,0,67,Personal Auto,Four-Door Car,321,5
Nevada,F,Bachelor,29091,34226,244,Personal Auto,Luxury,494,0
California,F,High School or Below,19834,65989,123,Personal Auto,SUV,115,1
Oregon,M,High School or Below,4731,30686,61,Corporate Auto,Four-Door Car,19,0
California,F,Master,35537,0,113,Personal Auto,Luxury,799,0
Arizona,F,High School or Below,34611,20090,109,Personal Auto,Luxury,523,0
California,M,High School or Below,20216,0,183,Personal Auto,Luxury,878,0
Oregon,M,College,13976,77094,176,Personal Auto,SUV,444,0
California,F,College,5904,97413,73,Personal Auto,Four-Door Car,268,0
Oregon,F,Master,5595,79189,69,Corporate Auto,Four-Door Car,331,0
California,F,High School or Below,2294,0,62,Personal Auto,Two-Door Car,297,0
Arizona,F,College,6273,18577,86,Personal Auto,Four-Door Car,412,0
Oregon,F,College,3726,0,112,Special Auto,Luxury,806,1
Washington,M,High School or Below,2656,62777,67,Personal Auto,Two-Door Car,101,0
Oregon,M,Bachelor,5110,0,74,Corporate Auto,Four-Door Car,532,0
Nevada,M,College,7126,17483,183,Personal Auto,Luxury,1317,0
Oregon,M,Master,4601,84394,114,Personal Auto,SUV,691,0
Oregon,M,College,9155,0,127,Personal Auto,Luxury,804,0
Oregon,F,College,14808,41440,62,Personal Auto,Four-Door Car,297,1
Arizona,M,High School or Below,8901,0,136,Personal Auto,Luxury,1090,1
Oregon,F,College,5734,98132,71,Personal Auto,Two-Door Car,50,0
Oregon,F,High School or Below,4177,0,112,Personal Auto,Four-Door Car,537,0
California,M,Bachelor,27776,88220,230,Personal Auto,Luxury,151,0
Arizona,F,Master,10364,58327,129,Personal Auto,SUV,347,0
Oregon,M,Master,7851,25950,66,Personal Auto,Two-Door Car,271,0
Oregon,M,High School or Below,4772,20993,133,Corporate Auto,SUV,638,0
Oregon,M,High School or Below,14226,65726,177,Corporate Auto,SUV,849,0
Washington,M,Bachelor,2875,84768,72,Personal Auto,Two-Door Car,110,0
Washington,F,Bachelor,5041,36234,63,Personal Auto,Four-Door Car,113,0
California,M,College,4362,58842,110,Personal Auto,Four-Door Car,528,0
Oregon,F,Master,9624,25629,124,Corporate Auto,Luxury,595,2
Washington,F,College,21914,77311,181,Personal Auto,SUV,113,0
California,M,Doctor,6948,0,196,Personal Auto,Luxury,1337,2
Washington,M,High School or Below,2471,95697,61,Personal Auto,Two-Door Car,114,0
Oregon,F,Bachelor,21903,22254,79,Personal Auto,Four-Door Car,125,0
Nevada,M,High School or Below,9028,65974,113,Personal Auto,Luxury,235,0
Oregon,F,College,5303,0,76,Personal Auto,Four-Door Car,395,0
Washington,M,High School or Below,20708,92079,65,Corporate Auto,Four-Door Car,114,1
Nevada,M,High School or Below,5123,0,74,Personal Auto,Two-Door Car,772,0
Oregon,M,College,9492,0,132,Personal Auto,SUV,633,0
Oregon,F,High School or Below,8204,0,73,Personal Auto,Four-Door Car,350,0
Arizona,F,College,9877,67752,131,Personal Auto,Luxury,168,4
California,F,Bachelor,4815,25398,64,Corporate Auto,Four-Door Car,307,0
California,M,High School or Below,6277,0,88,Personal Auto,Four-Door Car,633,0
California,M,High School or Below,8260,33321,105,Special Auto,SUV,504,0
Nevada,M,Bachelor,2549,0,78,Corporate Auto,Four-Door Car,845,0
Washington,Unknown,College,11318,38923,99,Personal Auto,Four-Door Car,115,2
Oregon,F,Bachelor,3803,20325,100,Personal Auto,Luxury,668,0
Oregon,M,Bachelor,8635,13129,117,Personal Auto,SUV,700,0
Oregon,F,High School or Below,5510,0,73,Personal Auto,Four-Door Car,525,0
Nevada,M,Master,3585,49080,91,Corporate Auto,Four-Door Car,25,0
Nevada,M,College,4889,42536,63,Personal Auto,Four-Door Car,375,0
Oregon,M,Bachelor,2756,29926,74,Corporate Auto,Four-Door Car,418,0
Nevada,M,Doctor,3289,0,86,Corporate Auto,Two-Door Car,398,0
California,F,Bachelor,10937,21450,138,Personal Auto,Luxury,938,0
California,M,High School or Below,7375,33345,65,Corporate Auto,Four-Door Car,338,0
California,F,Bachelor,10110,15752,90,Corporate Auto,Two-Door Car,339,0
Oregon,F,High School or Below,5119,40169,65,Personal Auto,Four-Door Car,302,1
California,F,College,8533,26049,113,Personal Auto,SUV,619,1
Nevada,M,College,2224,0,68,Personal Auto,Four-Door Car,326,0
Arizona,M,Doctor,8042,55411,100,Personal Auto,Luxury,259,0
Oregon,M,College,2554,12459,70,Personal Auto,Four-Door Car,336,0
Oregon,M,Bachelor,18073,64620,76,Personal Auto,Two-Door Car,364,1
California,M,Bachelor,2430,83140,61,Corporate Auto,Four-Door Car,179,0
Oregon,F,Bachelor,3167,0,92,Corporate Auto,Four-Door Car,662,0
Arizona,F,Bachelor,5465,54422,68,Corporate Auto,Four-Door Car,75,0
California,M,College,10357,68309,131,Corporate Auto,SUV,306,0
California,M,High School or Below,2537,56621,65,Personal Auto,Four-Door Car,84,2
Arizona,F,College,2821,38977,70,Special Auto,Four-Door Car,139,0
Oregon,M,Bachelor,7757,0,111,Corporate Auto,Two-Door Car,607,0
Oregon,M,High School or Below,4079,0,114,Corporate Auto,Two-Door Car,631,0
Oregon,F,College,5955,0,83,Personal Auto,Four-Door Car,628,0
Oregon,F,Bachelor,14158,83235,70,Personal Auto,Two-Door Car,336,0
Nevada,M,College,8487,0,74,Personal Auto,Two-Door Car,426,0
Oregon,M,College,6285,32390,80,Personal Auto,Four-Door Car,91,0
Oregon,F,High School or Below,11473,66538,95,Personal Auto,Two-Door Car,317,0
Washington,F,College,4942,23285,65,Personal Auto,Two-Door Car,118,0
Oregon,M,Bachelor,23594,76358,66,Personal Auto,Four-Door Car,86,0
Washington,M,Master,2572,21104,66,Personal Auto,Four-Door Car,118,0
Oregon,F,College,5380,55350,67,Personal Auto,Four-Door Car,321,0
California,F,College,4770,12964,65,Personal Auto,Two-Door Car,362,0
Oregon,F,Master,6756,33288,86,Personal Auto,Four-Door Car,221,2
Oregon,F,College,5936,0,84,Personal Auto,Four-Door Car,980,0
Oregon,F,Bachelor,3570,56168,88,Personal Auto,Four-Door Car,614,0
California,M,College,6019,0,92,Personal Auto,Four-Door Car,662,0
Oregon,M,High School or Below,5426,23105,69,Personal Auto,Two-Door Car,331,0
Oregon,F,Master,2730,36218,68,Personal Auto,Four-Door Car,145,0
California,F,High School or Below,4982,52275,62,Corporate Auto,Four-Door Car,374,0
Oregon,F,College,8769,49665,74,Personal Auto,Four-Door Car,355,0
Nevada,M,High School or Below,4220,32471,110,Personal Auto,Two-Door Car,528,0
Oregon,M,High School or Below,11537,0,86,Corporate Auto,Two-Door Car,619,1
California,F,Master,5887,62773,73,Personal Auto,Four-Door Car,80,0
California,F,College,4700,76694,117,Personal Auto,SUV,561,0
Oregon,M,High School or Below,10963,55687,276,Personal Auto,Luxury,1324,0
Oregon,F,High School or Below,2523,0,70,Personal Auto,Four-Door Car,504,0
Nevada,M,Doctor,3757,36633,96,Personal Auto,Four-Door Car,460,1
Oregon,M,High School or Below,12941,77060,106,Personal Auto,SUV,468,0
Nevada,F,Bachelor,3764,92600,94,Corporate Auto,Two-Door Car,842,0
California,M,High School or Below,6889,0,66,Personal Auto,Four-Door Car,475,0
Nevada,M,College,3623,0,111,Corporate Auto,SUV,1171,2
Oregon,M,College,7582,64801,64,Personal Auto,Four-Door Car,268,0
Oregon,F,College,8277,45257,103,Corporate Auto,Two-Door Car,494,0
California,M,High School or Below,2576,26854,66,Personal Auto,Four-Door Car,475,0
Oregon,F,College,8205,85840,102,Corporate Auto,SUV,138,2
Oregon,F,Doctor,19582,26463,72,Corporate Auto,Four-Door Car,345,0
Nevada,F,Bachelor,6481,30689,81,Personal Auto,Four-Door Car,467,0
Oregon,M,High School or Below,2599,29590,66,Corporate Auto,Two-Door Car,467,0
Oregon,F,College,9830,25965,253,Personal Auto,Luxury,1214,0
Oregon,M,Bachelor,10442,17269,139,Personal Auto,SUV,667,0
Oregon,M,College,36057,90330,137,Corporate Auto,Luxury,192,3
California,F,High School or Below,8470,0,113,Corporate Auto,SUV,619,0
California,F,High School or Below,8278,0,110,Personal Auto,Four-Door Car,1002,0
California,F,High School or Below,4788,0,67,Personal Auto,Two-Door Car,321,1
Oregon,F,Bachelor,3087,18558,80,Special Auto,Four-Door Car,384,0
Arizona,M,Bachelor,4443,46384,113,Corporate Auto,Four-Door Car,251,0
Oregon,F,High School or Below,7984,0,72,Personal Auto,Two-Door Car,866,0
Oregon,F,College,7180,42303,180,Personal Auto,Luxury,1210,0
California,F,Bachelor,15656,71731,130,Corporate Auto,SUV,599,0
Oregon,M,High School or Below,5780,51066,74,Corporate Auto,Four-Door Car,787,0
California,M,College,20714,0,203,Corporate Auto,Luxury,2027,0
Nevada,F,Bachelor,5337,0,86,Personal Auto,Four-Door Car,619,3
Arizona,M,College,5050,0,69,Personal Auto,Two-Door Car,72,0
Arizona,F,High School or Below,5116,26173,68,Corporate Auto,Four-Door Car,449,1
Oregon,M,Bachelor,7268,24445,63,Personal Auto,Two-Door Car,302,0
Oregon,M,College,2616,72302,66,Personal Auto,Two-Door Car,316,0
Oregon,M,High School or Below,3738,27208,102,Personal Auto,SUV,489,0
California,F,Master,2725,36650,69,Special Auto,Four-Door Car,56,1
Arizona,M,College,5453,30855,68,Corporate Auto,Four-Door Car,259,0
Arizona,F,Bachelor,6846,0,95,Personal Auto,Two-Door Car,456,0
Oregon,M,Master,6172,99960,76,Corporate Auto,Four-Door Car,364,0
Arizona,F,Bachelor,10346,0,98,Personal Auto,Four-Door Car,470,0
Nevada,F,Bachelor,6997,55873,88,Personal Auto,Four-Door Car,299,0
Arizona,F,High School or Below,4196,18052,111,Personal Auto,Four-Door Car,699,0
Oregon,F,High School or Below,7858,28937,104,Personal Auto,SUV,117,2
Oregon,F,High School or Below,6064,0,86,Personal Auto,Four-Door Car,545,0
California,M,College,17497,0,73,Personal Auto,Two-Door Car,350,0
Oregon,M,Doctor,8970,12829,118,Personal Auto,SUV,328,0
Oregon,F,Master,5923,92163,73,Personal Auto,Two-Door Car,66,0
Oregon,M,High School or Below,35850,17588,192,Personal Auto,Luxury,1382,0
Washington,F,Bachelor,8709,41546,111,Corporate Auto,Four-Door Car,121,0
Arizona,M,College,13309,0,127,Personal Auto,SUV,609,0
California,M,High School or Below,4528,70340,113,Special Auto,Four-Door Car,542,0
Oregon,F,High School or Below,2791,0,74,Personal Auto,Four-Door Car,532,0
Washington,M,High School or Below,4434,34549,111,Personal Auto,Four-Door Car,125,0
Arizona,M,College,7996,93459,99,Personal Auto,Four-Door Car,655,0
Arizona,M,Bachelor,5129,86148,65,Personal Auto,Four-Door Car,312,2
California,F,Bachelor,5697,27048,72,Corporate Auto,Four-Door Car,345,0
Oregon,F,College,9217,73259,115,Personal Auto,SUV,673,0
Oregon,F,College,10208,35482,129,Corporate Auto,SUV,619,0
Oregon,F,College,4505,67801,115,Personal Auto,SUV,23,1
California,M,High School or Below,3107,0,94,Personal Auto,Two-Door Car,451,4
Arizona,M,High School or Below,5528,16042,73,Personal Auto,Two-Door Car,350,0
California,M,High School or Below,5045,28056,64,Personal Auto,Four-Door Car,307,1
California,M,High School or Below,2962,16495,85,Corporate Auto,Four-Door Car,408,3
California,F,Master,8665,41163,108,Corporate Auto,SUV,231,0
Arizona,F,College,11413,0,161,Personal Auto,Luxury,772,1
California,M,Bachelor,15488,33799,109,Corporate Auto,SUV,664,3
Washington,F,College,8861,90125,110,Corporate Auto,SUV,128,0
Oregon,F,Bachelor,5934,87747,147,Personal Auto,SUV,46,1
Nevada,M,College,3543,35695,90,Personal Auto,Four-Door Car,432,0
California,M,Master,3490,90985,87,Personal Auto,Four-Door Car,78,0
California,F,College,3683,0,101,Corporate Auto,Luxury,564,0
California,M,College,5989,66839,154,Personal Auto,Luxury,739,0
California,F,High School or Below,12500,0,165,Personal Auto,SUV,792,0
Oregon,F,Bachelor,8609,79090,107,Corporate Auto,SUV,289,0
Oregon,M,Bachelor,2497,24825,64,Personal Auto,Two-Door Car,155,0
California,M,College,7019,26806,63,Personal Auto,Four-Door Car,302,0
Oregon,F,College,5387,56835,67,Personal Auto,Two-Door Car,326,0
Oregon,F,Bachelor,6165,0,88,Special Auto,Two-Door Car,653,0
California,M,Bachelor,2730,46135,69,Personal Auto,Four-Door Car,103,0
Arizona,F,Bachelor,5162,0,73,Personal Auto,Four-Door Car,809,0
Oregon,F,High School or Below,7937,22862,67,Personal Auto,Two-Door Car,321,0
Oregon,F,High School or Below,8608,21450,110,Personal Auto,Luxury,528,2
Oregon,M,Bachelor,2632,95854,65,Personal Auto,Two-Door Car,312,0
Oregon,F,Bachelor,7785,44897,99,Personal Auto,Four-Door Car,580,1
Washington,M,High School or Below,21639,64455,108,Personal Auto,SUV,133,0
Oregon,F,Master,4980,53265,62,Personal Auto,Four-Door Car,238,0
Arizona,F,High School or Below,7457,0,198,Personal Auto,Luxury,1577,1
Washington,M,Master,10640,50450,90,Personal Auto,Two-Door Car,135,0
California,F,High School or Below,6862,54780,88,Personal Auto,Four-Door Car,135,3
Nevada,M,High School or Below,9048,0,119,Personal Auto,Luxury,571,0
California,M,Bachelor,5548,67798,69,Personal Auto,Four-Door Car,331,0
Oregon,M,Bachelor,8312,21442,118,Personal Auto,SUV,566,0
California,M,Bachelor,2389,27615,62,Personal Auto,Four-Door Car,297,1
California,M,Bachelor,4458,17622,65,Personal Auto,Four-Door Car,312,1
Nevada,M,High School or Below,5295,50200,135,Personal Auto,Luxury,637,0
Arizona,F,Doctor,3839,0,112,Personal Auto,SUV,537,2
California,F,High School or Below,3731,0,96,Personal Auto,Four-Door Car,460,0
California,F,Master,2778,73570,70,Special Auto,Two-Door Car,75,1
Oregon,F,High School or Below,4016,0,111,Personal Auto,SUV,799,0
Washington,M,Doctor,4930,70412,61,Corporate Auto,Two-Door Car,136,0
Nevada,M,Doctor,2491,36631,62,Personal Auto,Four-Door Car,67,0
Oregon,F,College,2908,35895,73,Personal Auto,Four-Door Car,312,0
Arizona,F,College,4282,40864,109,Personal Auto,SUV,166,1
Oregon,M,College,8341,0,118,Personal Auto,Four-Door Car,566,0
Arizona,F,Master,5090,93018,63,Personal Auto,Four-Door Car,135,0
Oregon,M,Bachelor,7366,70014,62,Corporate Auto,Four-Door Car,17,0
Oregon,F,College,2436,48875,61,Personal Auto,Two-Door Car,1,0
California,M,Bachelor,8852,67969,74,Personal Auto,Four-Door Car,197,0
Oregon,F,High School or Below,23875,0,108,Corporate Auto,SUV,612,0
Oregon,F,Doctor,5600,68665,69,Personal Auto,Two-Door Car,331,0
California,M,College,4636,26802,66,Corporate Auto,Two-Door Car,316,1
Nevada,M,High School or Below,7573,0,110,Corporate Auto,Four-Door Car,1193,0
California,M,College,14696,45345,125,Personal Auto,SUV,600,0
Washington,M,Bachelor,8972,89689,74,Personal Auto,Four-Door Car,136,0
California,F,Bachelor,7724,32051,193,Personal Auto,SUV,926,1
Oregon,M,Master,5946,81139,74,Special Auto,Four-Door Car,392,0
Oregon,F,Master,8000,63834,100,Personal Auto,Luxury,215,1
Arizona,M,Bachelor,6457,37548,81,Special Auto,Four-Door Car,160,0
Arizona,F,High School or Below,7281,0,69,Personal Auto,Four-Door Car,371,3
California,M,High School or Below,2592,72421,65,Personal Auto,Four-Door Car,312,0
Nevada,M,Master,4678,83102,116,Corporate Auto,Four-Door Car,443,0
Oregon,M,College,13869,28432,118,Personal Auto,SUV,612,0
Nevada,F,Master,8717,83707,108,Corporate Auto,Four-Door Car,290,0
California,F,College,5233,63259,65,Corporate Auto,Four-Door Car,316,0
Nevada,F,High School or Below,4764,0,67,Personal Auto,Four-Door Car,405,0
Oregon,F,College,2472,63860,62,Personal Auto,Four-Door Car,208,0
Washington,M,Bachelor,2813,43836,73,Personal Auto,Four-Door Car,138,0
California,F,College,5505,86132,68,Personal Auto,Two-Door Car,301,0
Oregon,F,Bachelor,2606,28519,66,Personal Auto,Two-Door Car,456,0
Arizona,F,High School or Below,10481,39102,88,Personal Auto,Four-Door Car,152,0
California,F,Bachelor,3256,0,89,Personal Auto,Four-Door Car,491,0
California,F,College,30475,97298,128,Personal Auto,Luxury,48,0
Nevada,M,High School or Below,6364,41986,84,Personal Auto,Two-Door Car,430,2
Arizona,M,High School or Below,9468,0,88,Personal Auto,Two-Door Car,633,0
Oregon,F,College,5631,17291,73,Personal Auto,Four-Door Car,350,0
California,M,Bachelor,7780,0,74,Personal Auto,Four-Door Car,246,0
California,M,College,9816,37256,62,Personal Auto,Four-Door Car,128,0
Oregon,M,High School or Below,7519,96306,95,Corporate Auto,Four-Door Car,185,1
California,F,Bachelor,10179,14290,271,Personal Auto,Luxury,1300,0
California,F,College,2772,37038,71,Corporate Auto,Four-Door Car,9,1
Oregon,M,College,4037,90760,103,Special Auto,SUV,133,2
Washington,M,Master,4191,77048,103,Personal Auto,SUV,141,0
Oregon,F,High School or Below,2676,54480,67,Personal Auto,Four-Door Car,321,0
California,M,College,2523,16244,68,Personal Auto,Two-Door Car,623,0
California,F,College,6988,22436,89,Special Auto,Four-Door Car,427,0
Washington,F,College,8742,71592,72,Personal Auto,Four-Door Car,141,0
Arizona,M,Master,2673,28728,67,Personal Auto,Four-Door Car,321,0
Arizona,M,High School or Below,12157,57449,103,Personal Auto,Four-Door Car,494,0
California,F,Doctor,2957,83318,73,Personal Auto,Two-Door Car,211,0
Washington,M,Bachelor,7173,75217,61,Personal Auto,Four-Door Car,147,1
Nevada,M,Bachelor,3099,0,102,Corporate Auto,SUV,862,5
Oregon,M,Bachelor,8415,55308,107,Corporate Auto,SUV,513,0
Oregon,F,College,26843,36068,97,Personal Auto,Two-Door Car,113,0
Oregon,M,Bachelor,13057,48804,112,Corporate Auto,Four-Door Car,537,1
Oregon,M,College,9599,0,131,Personal Auto,SUV,943,0
Oregon,M,Bachelor,8535,55790,111,Personal Auto,SUV,117,0
Arizona,F,Bachelor,8293,70258,69,Personal Auto,Four-Door Car,225,0
Oregon,F,Bachelor,6846,0,95,Personal Auto,Two-Door Car,456,0
Oregon,F,Bachelor,6636,47274,83,Corporate Auto,Four-Door Car,182,1
Washington,F,College,5609,44705,71,Personal Auto,Two-Door Car,148,0
Arizona,M,High School or Below,5077,0,73,Personal Auto,Two-Door Car,525,0
Washington,F,Master,5275,70446,65,Personal Auto,Four-Door Car,155,0
Washington,F,High School or Below,2514,43860,65,Personal Auto,Four-Door Car,156,0
Oregon,F,Bachelor,3435,64348,86,Personal Auto,Two-Door Car,212,0
Oregon,M,Bachelor,6624,0,62,Corporate Auto,Two-Door Car,297,0
California,M,Master,5757,88997,72,Special Auto,Four-Door Car,174,0
Washington,F,High School or Below,2514,43860,65,Corporate Auto,Four-Door Car,156,0
California,F,High School or Below,2886,10312,78,Corporate Auto,Four-Door Car,486,0
California,F,High School or Below,5341,0,72,Personal Auto,Four-Door Car,345,1
Arizona,F,High School or Below,4160,96263,103,Personal Auto,SUV,1,0
California,F,College,2846,28919,72,Corporate Auto,Four-Door Car,518,0
Oregon,F,College,4770,0,68,Personal Auto,Two-Door Car,326,1
Oregon,M,Bachelor,5059,41869,64,Personal Auto,Two-Door Car,262,0
Arizona,F,High School or Below,9095,0,128,Personal Auto,SUV,921,0
California,F,High School or Below,2688,32808,68,Personal Auto,Four-Door Car,541,1
California,F,Bachelor,8277,79780,68,Personal Auto,Four-Door Car,326,0
Oregon,F,College,9057,91025,112,Personal Auto,SUV,327,0
California,F,High School or Below,3801,33043,95,Personal Auto,Two-Door Car,456,0
Arizona,M,High School or Below,9339,69442,118,Personal Auto,Four-Door Car,1265,3
Oregon,M,College,2520,0,70,Corporate Auto,Four-Door Car,63,0
Arizona,F,College,4984,0,70,Corporate Auto,Four-Door Car,336,0
Oregon,F,Bachelor,2595,47234,65,Personal Auto,Four-Door Car,15,0
Oregon,M,High School or Below,7437,86863,92,Personal Auto,Four-Door Car,441,0
Oregon,M,Bachelor,14536,25805,66,Personal Auto,Four-Door Car,375,2
Nevada,M,Bachelor,5913,43676,76,Personal Auto,Four-Door Car,364,0
Arizona,M,College,2771,59855,74,Personal Auto,Two-Door Car,355,4
Arizona,M,Master,29194,35296,126,Personal Auto,SUV,452,0
Oregon,F,Master,9880,36576,125,Personal Auto,SUV,113,1
California,F,High School or Below,15114,28513,100,Corporate Auto,SUV,480,1
Oregon,M,Bachelor,5759,85448,72,Special Auto,Four-Door Car,16,0
Oregon,F,High School or Below,8495,23791,110,Personal Auto,Two-Door Car,615,3
California,F,Bachelor,4381,20597,112,Personal Auto,Four-Door Car,615,0
Arizona,F,College,6997,56940,87,Personal Auto,Four-Door Car,512,0
Oregon,M,Bachelor,11430,93210,71,Personal Auto,Two-Door Car,74,0
Oregon,F,Bachelor,7482,48992,94,Personal Auto,Four-Door Car,426,1
Arizona,F,Master,8596,53736,71,Personal Auto,Two-Door Car,169,0
Arizona,M,College,7854,25378,66,Personal Auto,Four-Door Car,419,1
Oregon,F,Bachelor,2582,76731,64,Personal Auto,Four-Door Car,201,0
Washington,M,Master,9075,37722,116,Corporate Auto,Luxury,158,0
California,F,Bachelor,4118,69379,103,Personal Auto,Two-Door Car,494,0
Oregon,M,High School or Below,12157,57449,103,Personal Auto,Four-Door Car,494,0
Arizona,M,Bachelor,5152,0,68,Corporate Auto,Four-Door Car,326,0
Nevada,M,College,6512,0,93,Personal Auto,Two-Door Car,669,0
Arizona,F,Bachelor,27789,33806,89,Corporate Auto,Four-Door Car,395,0
Washington,F,College,2667,94041,66,Personal Auto,Four-Door Car,159,0
Oregon,F,College,10928,74965,90,Personal Auto,Four-Door Car,58,0
Arizona,F,High School or Below,7615,34095,63,Personal Auto,Two-Door Car,302,0
California,F,College,2004,0,66,Personal Auto,Four-Door Car,316,4
California,M,College,2434,96045,61,Corporate Auto,Four-Door Car,8,0
Nevada,F,Bachelor,14195,86355,118,Personal Auto,Luxury,285,0
California,F,High School or Below,9427,27824,118,Personal Auto,SUV,566,0
California,M,High School or Below,11982,42995,101,Personal Auto,SUV,410,0
Oregon,F,High School or Below,3102,21235,79,Personal Auto,Two-Door Car,244,0
California,M,High School or Below,4222,74585,106,Personal Auto,SUV,218,0
Oregon,M,Bachelor,4023,41833,103,Personal Auto,Four-Door Car,643,0
California,F,College,5297,23908,70,Personal Auto,Four-Door Car,336,0
Oregon,M,Bachelor,21423,0,65,Personal Auto,Two-Door Car,312,0
Arizona,M,Bachelor,4416,61953,113,Personal Auto,SUV,497,0
California,M,Bachelor,4639,0,142,Corporate Auto,SUV,1022,0
Nevada,M,Bachelor,4863,0,137,Personal Auto,SUV,657,0
Arizona,F,Bachelor,25830,73760,107,Personal Auto,Luxury,230,1
Oregon,F,College,2974,23333,74,Corporate Auto,Four-Door Car,5,0
California,M,College,2064,0,61,Personal Auto,Four-Door Car,292,0
Arizona,F,High School or Below,10064,20440,128,Corporate Auto,Luxury,614,2
Washington,M,Master,8032,27658,68,Personal Auto,Four-Door Car,160,0
California,M,College,5489,50943,139,Special Auto,SUV,667,0
California,M,Bachelor,2612,19003,71,Personal Auto,Two-Door Car,34,0
California,M,College,8573,46703,108,Personal Auto,Four-Door Car,678,0
California,M,Bachelor,24127,14072,71,Personal Auto,Four-Door Car,511,0
Oregon,M,College,8550,21733,73,Corporate Auto,Four-Door Car,525,0
Arizona,M,Bachelor,2308,20811,61,Personal Auto,Four-Door Car,292,0
Arizona,F,High School or Below,4254,11904,61,Personal Auto,Two-Door Car,292,2
Oregon,F,College,8982,43490,114,Corporate Auto,SUV,174,4
California,M,High School or Below,7868,57340,67,Corporate Auto,Four-Door Car,159,0
California,M,College,7704,49088,97,Corporate Auto,Four-Door Car,698,0
Nevada,M,Master,10552,47761,131,Personal Auto,SUV,232,0
Washington,F,College,16045,0,65,Personal Auto,Two-Door Car,163,0
Arizona,M,Bachelor,8737,61281,110,Personal Auto,SUV,79,0
Nevada,M,Bachelor,5454,0,82,Corporate Auto,Two-Door Car,393,1
Arizona,M,Bachelor,7705,25290,66,Personal Auto,Four-Door Car,382,0
Arizona,F,High School or Below,7039,24239,88,Personal Auto,Four-Door Car,48,0
California,M,Bachelor,8838,82664,114,Personal Auto,SUV,133,3
Arizona,M,Bachelor,8733,83210,110,Personal Auto,Luxury,528,0
Oregon,F,Bachelor,9597,38736,81,Personal Auto,Two-Door Car,561,0
California,M,College,4506,0,66,Personal Auto,Four-Door Car,316,0
Oregon,M,College,17857,55437,64,Personal Auto,Four-Door Car,445,1
Washington,M,Bachelor,2497,68041,6464,Personal Auto,Two-Door Car,165,0
Oregon,M,Master,5426,0,71,Corporate Auto,Four-Door Car,407,0
California,F,High School or Below,7998,29066,100,Personal Auto,SUV,844,0
Nevada,M,Bachelor,2897,54337,72,Personal Auto,Four-Door Car,345,0
Oregon,F,High School or Below,11599,67616,96,Personal Auto,Four-Door Car,340,0
California,F,Bachelor,15147,41082,63,Personal Auto,Two-Door Car,106,0
Oregon,F,High School or Below,5435,0,10202,Personal Auto,Four-Door Car,626,0
Nevada,F,Master,2725,36650,69,Personal Auto,Four-Door Car,56,1
